MERLOT BOX,5,litri,"15,90","3,18"
CHARDONNAY BOX,5,litri,"16,90","3,38"
MERLOT VISTALAGO,"0,75",litri,"11,90","15,87"
SCHIAVA VISTALAGO,"0,75",litri,"11,90","15,87"
TEROLDEGO VISTALAGO,"0,75",kg,"11,90","15,87"
CHARDONNAY APPONALE,"0,75",litri,"8,90","11,87"
MARZEMINO APPONALE,"0,75",litri,"8,90","11,87"
NOSIOLA APPONALE,"0,75",litri,"8,90","11,87"
MOSCATO GIALLO APPONALE,"0,75",litri,"8,90","11,87"
PINOT GRIGIO APPONALE,"0,75",litri,"8,90","11,87"
SCHIAVA APPONALE,"0,75",kg,"8,90","11,87"
CABERNET MASO LIZZONE,"0,75",litri,"18,90","25,20"
PINOT NERO ELESI,"0,75",litri,"21,90","29,20"
VINO SANTO PEDROTTI,"0,375",litri,"33,00","88,00"
CHARDONNAY VISTALAGO,"0,75",litri,"12,90","17,20"
PINOT GRIGIO VISTALAGO,"0,75",litri,"12,90","17,20"
GRAPPA TRENTINA,"0,7",litri,"21,00","30,00"
"GRAPPA MOSCATO BARRICATA ""ORO""","0,7",litri,"27,00","38,57"
GRAPPA MOSCATO,"0,7",kg,"23,00","32,86"
LIQUORE LIMONE,"0,5",litri,"15,00","30,00"
LIQUORE MIRTILLO,"0,5",litri,"15,00","30,00"
LIQUORE PESCA,"0,5",litri,"15,00","30,00"
GRAPPA AMARA,"0,7",litri,"23,00","32,86"
"GRAPPA TRENTINA BARRICATA ""ORO""","0,7",litri,"24,00","34,29"
GRAPPA TRENTINA ASPERULA,"0,7",litri,"22,00","31,43"
OLIO BRIGHENTI,"0,5",litri,"18,00","36,00"
ITALICO LATTINA,3,litri,"45,00","15,00"
OLIO 46 PARALLELO CASALIVA BLU,"0,5",litri,"25,00","50,00"
OLIO 46 PARALLELO BIO BIANCO,"0,5",litri,"25,00","50,00"